,JNJ,ABBV,LLY,MSFT,NVDA,AVGO,NEE,PLD,CCI,PSA
2020-01-27,140.35235595703125,76.20443725585938,133.011474609375,158.91546630859375,59.888553619384766,285.0805969238281,63.72365188598633,90.26959228515625,140.2768096923828,208.8933868408203
2020-01-28,141.0599822998047,75.9776840209961,133.92506408691406,162.029541015625,61.825836181640625,293.6413269042969,63.501461029052734,90.8112564086914,141.6114501953125,208.4462890625
2020-01-29,142.04127502441406,75.46070861816406,134.55979919433594,164.5560302734375,61.219966888427734,292.9033508300781,63.4895133972168,91.70453643798828,139.1101837158203,206.8627471923828
2020-01-30,141.8714599609375,74.17279815673828,137.2044677734375,169.19778442382812,61.28728485107422,290.77239990234375,64.48572540283203,91.428955078125,141.05148315429688,208.7443389892578
2020-01-31,140.46559143066406,73.4834976196289,134.29054260253906,166.70062255859375,58.948585510253906,281.510498046875,64.07242584228516,88.26441955566406,139.84750366210938,208.4276123046875
2020-02-03,141.69215393066406,74.6444320678711,135.5984649658203,170.76458740234375,59.92096710205078,281.5750427246094,63.740360260009766,87.30463409423828,139.2408447265625,208.81881713867188
2020-02-04,143.04144287109375,76.51280975341797,137.94493103027344,176.38560485839844,61.616397857666016,287.4513854980469,63.19807052612305,88.7776107788086,140.4168243408203,207.8594207763672
2020-02-05,145.2965087890625,78.57166290283203,141.7052001953125,176.17013549804688,62.521453857421875,292.7834167480469,63.71647262573242,88.13138580322266,139.95948791503906,206.9186553955078
2020-02-06,144.8625030517578,79.07049560546875,141.65707397460938,179.82281494140625,63.39162063598633,294.9144287109375,64.10350036621094,88.48300170898438,140.46347045898438,208.67913818359375
2020-02-07,143.31507873535156,83.70516967773438,140.8011932373047,180.0774383544922,62.72840118408203,290.800048828125,64.3925552368164,88.51151275634766,140.4541778564453,209.79689025878906
2020-02-10,143.28675842285156,85.93633270263672,139.93565368652344,184.78768920898438,65.56575775146484,289.84991455078125,64.91812896728516,89.95598602294922,142.7220916748047,210.90536499023438
2020-02-11,143.40940856933594,87.07005310058594,138.72393798828125,180.61599731445312,66.7924575805664,295.3480224609375,65.01608276367188,91.428955078125,150.29127502441406,210.8494873046875
2020-02-12,142.56024169921875,88.69355010986328,138.0122833251953,180.88043212890625,67.95181274414062,299.53619384765625,64.56455993652344,91.98014068603516,152.32589721679688,211.67849731445312
2020-02-13,141.61669921875,86.48051452636719,137.07461547851562,179.90115356445312,67.51299285888672,298.8627624511719,65.80921936035156,91.67604064941406,152.98855590820312,212.89874267578125
2020-02-14,141.65444946289062,85.30145263671875,136.41725158691406,181.50717163085938,72.25272369384766,293.1432189941406,66.5378646850586,92.70237731933594,154.90182495117188,216.86683654785156
2020-02-17,141.65444946289062,85.30145263671875,136.41725158691406,181.50717163085938,72.25272369384766,293.1432189941406,66.5378646850586,92.70237731933594,154.90182495117188,216.86683654785156
2020-02-18,140.7203369140625,84.90237426757812,136.3109130859375,183.34815979003906,73.94317626953125,286.6672668457031,67.3787841796875,93.46261596679688,155.1258087158203,215.87950134277344
2020-02-19,140.5316162109375,85.38307189941406,136.13694763183594,183.89805603027344,78.4634780883789,291.22442626953125,65.61809539794922,92.91143798828125,154.55650329589844,203.80752563476562
2020-02-20,139.9938201904297,85.46469116210938,137.2679443359375,181.0897216796875,76.96751403808594,285.2742919921875,66.1819076538086,94.03279113769531,155.85379028320312,207.1422119140625
2020-02-21,141.46572875976562,86.12680053710938,137.3065948486328,175.364990234375,73.31983947753906,280.9015808105469,66.31568908691406,94.29888153076172,156.85247802734375,210.29991149902344
2020-02-24,138.5505828857422,84.47608947753906,133.54624938964844,167.80404663085938,68.13631439208984,269.0013427734375,65.44371032714844,91.21038055419922,155.2658233642578,210.95191955566406
2020-02-25,137.3541259765625,80.88444519042969,130.89755249023438,165.03497314453125,65.33636474609375,260.7726135253906,64.58129119873047,87.14306640625,152.14857482910156,205.74497985839844
2020-02-26,136.43304443359375,80.18608093261719,129.0802001953125,167.09706115722656,66.73260498046875,263.7246398925781,64.37583923339844,86.72493743896484,151.84056091308594,212.5913543701172
2020-02-27,132.10304260253906,77.47420501708984,124.88484191894531,155.3235626220703,63.01789093017578,252.71922302246094,61.441253662109375,82.40104675292969,138.50352478027344,196.8307342529297
2020-02-28,127.69709014892578,77.73723602294922,121.92679595947266,159.08436584472656,67.37625122070312,251.49227905273438,60.69920349121094,80.091796875,133.73431396484375,194.79078674316406
2020-03-02,132.95765686035156,80.44003295898438,128.41317749023438,169.66970825195312,68.96292114257812,262.8851623535156,64.44307708740234,83.88352966308594,145.82070922851562,204.22665405273438
2020-03-03,128.7510986328125,79.42420959472656,125.96749877929688,161.53924560546875,66.33343505859375,252.9959716796875,63.674617767333984,84.94786834716797,147.58465576171875,202.801513671875
2020-03-04,136.24314880371094,83.21538543701172,135.70193481445312,167.4701690673828,70.97870635986328,263.3280029296875,67.77389526367188,89.68041229248047,152.6525115966797,210.58865356445312
2020-03-05,134.84727478027344,82.18144989013672,135.47958374023438,163.2675018310547,68.17958068847656,252.80223083496094,66.31861114501953,85.25196075439453,151.42054748535156,213.3644561767578
2020-03-06,134.8662872314453,80.55793762207031,136.74595642089844,158.65237426757812,66.37086486816406,248.56793212890625,65.27638244628906,81.6122817993164,150.0952606201172,213.25271606445312
2020-03-09,129.5582275390625,77.3381576538086,131.1972198486328,147.9000701904297,61.23163604736328,228.52200317382812,62.745243072509766,73.90531921386719,140.25816345214844,208.24131774902344
2020-03-10,134.49595642089844,79.38794708251953,136.48492431640625,158.01406860351562,65.13346862792969,242.52557373046875,61.41243362426758,76.84176635742188,148.72328186035156,214.13758850097656
2020-03-11,125.15225982666016,76.95722961425781,135.35391235351562,150.85572814941406,61.48859405517578,226.90762329101562,57.937530517578125,70.02806091308594,143.59007263183594,205.3351287841797
2020-03-12,119.0845718383789,71.29766845703125,121.8204574584961,136.54881286621094,53.96437072753906,201.82479858398438,50.16401290893555,66.6924819946289,134.05189514160156,187.7022247314453
2020-03-13,127.51664733886719,77.42886352539062,134.7255859375,155.9618377685547,60.084041595458984,216.0682373046875,53.2066650390625,74.569091796875,145.88525390625,198.8320770263672
2020-03-16,120.71778869628906,67.36138916015625,125.0685043334961,132.9745635986328,48.997276306152344,173.0427703857422,48.358123779296875,61.690555572509766,127.75895690917969,175.90443420410156
2020-03-17,129.7006378173828,66.2276611328125,138.4279327392578,143.9232177734375,54.20387268066406,184.04818725585938,53.25468826293945,67.7369613647461,138.15310668945312,186.62030029296875
2020-03-18,128.1528778076172,64.42277526855469,138.32159423828125,137.86463928222656,50.59892272949219,154.8602752685547,50.584266662597656,64.96768951416016,130.10116577148438,178.7174530029297
2020-03-19,120.64183044433594,64.44998168945312,128.6548614501953,140.1329345703125,53.13111877441406,179.38035583496094,49.73415756225586,61.24018478393555,122.9898681640625,176.49713134765625
2020-03-20,113.84297180175781,62.41835403442383,118.32111358642578,134.86973571777344,51.32989501953125,180.33729553222656,46.047916412353516,60.19572067260742,120.45951080322266,161.0865478515625
2020-03-23,105.53430938720703,58.500186920166016,115.0827407836914,133.52444458007812,53.06126403808594,181.51004028320312,43.624855041503906,60.72274398803711,110.0371322631836,151.1044921875
2020-03-24,113.1688003540039,61.212059020996094,118.7947769165039,145.66122436523438,62.1646728515625,199.60755920410156,49.59727096557617,67.60279846191406,116.36769104003906,158.6686553955078
2020-03-25,113.37769317626953,61.59298324584961,117.87641906738281,144.26690673828125,61.27654266357422,204.10145568847656,50.49541473388672,69.1742935180664,120.3654556274414,166.0916748046875
2020-03-26,120.18604278564453,66.96231842041016,129.87286376953125,153.2909393310547,64.17546081542969,228.13766479492188,55.497650146484375,74.44452667236328,134.01429748535156,176.65704345703125
2020-03-27,116.94803619384766,65.91020965576172,129.64088439941406,146.99667358398438,63.050323486328125,216.42916870117188,55.7017707824707,75.86270904541016,128.76544189453125,180.18511962890625
2020-03-30,126.30122375488281,68.24114227294922,133.82659912109375,157.33653259277344,66.25859069824219,225.26683044433594,59.078216552734375,79.41771697998047,139.27249145507812,189.69677734375
2020-03-31,124.51605224609375,69.102783203125,134.0972442626953,154.86207580566406,65.76213836669922,222.4429168701172,57.783836364746094,77.01258087158203,135.82972717285156,186.85549926757812
2020-04-01,122.31307220458984,66.5904541015625,131.87388610839844,149.36317443847656,60.640377044677734,209.80560302734375,52.406978607177734,70.1995849609375,129.4239044189453,184.98326110839844
2020-04-02,126.43415832519531,68.14138793945312,137.44192504882812,152.456298828125,63.73389434814453,222.40536499023438,54.3809700012207,72.35560607910156,137.6827850341797,181.45523071289062
2020-04-03,127.40271759033203,66.54510498046875,135.00592041015625,151.05209350585938,60.84993362426758,219.77847290039062,53.22587966918945,70.51579284667969,136.97732543945312,182.59361267089844
2020-04-06,132.7107696533203,68.68558502197266,136.89096069335938,162.2855224609375,66.95963287353516,236.83460998535156,56.3165397644043,76.87843322753906,139.92153930664062,191.67250061035156
2020-04-07,130.5457763671875,68.377197265625,137.15194702148438,160.53765869140625,64.62203979492188,237.6133270263672,54.87086868286133,77.56834411621094,137.8426971435547,185.5854034423828
2020-04-08,136.03424072265625,71.25232696533203,141.34732055664062,162.14804077148438,66.59789276123047,244.9592742919922,56.073997497558594,82.57986450195312,148.02052307128906,187.2882843017578
2020-04-09,134.10659790039062,72.33163452148438,140.8736572265625,162.1578826904297,65.5999755859375,238.5796356201172,58.902915954589844,87.89801788330078,154.39813232421875,196.24484252929688
2020-04-10,134.10659790039062,72.33163452148438,140.8736572265625,162.1578826904297,65.5999755859375,238.5796356201172,58.902915954589844,87.89801788330078,154.39813232421875,196.24484252929688
2020-04-13,132.72027587890625,72.83048248291016,139.6072998046875,162.52117919921875,67.32137298583984,243.85223388671875,56.724788665771484,82.80025482177734,147.72891235351562,189.50860595703125
2020-04-14,138.66452026367188,75.6011962890625,146.0743408203125,170.5633087158203,70.8390121459961,251.08560180664062,58.20649337768555,85.42579650878906,155.94078063964844,192.7449951171875
2020-04-15,140.21231079101562,75.31584930419922,146.14202880859375,168.7761688232422,70.0631103515625,241.52554321289062,56.96733856201172,82.9248275756836,152.81784057617188,183.74142456054688
2020-04-16,142.12091064453125,75.35266876220703,149.57371520996094,173.84300231933594,73.52088928222656,242.32296752929688,57.02977752685547,84.5154800415039,152.19703674316406,182.48068237304688
2020-04-17,144.35240173339844,76.8162612915039,152.04843139648438,175.3748321533203,72.92711639404297,249.44375610351562,59.13825607299805,86.45108795166016,157.13540649414062,184.8515625
2020-04-20,144.02001953125,77.31332397460938,152.53172302246094,171.89874267578125,71.61237335205078,242.31361389160156,57.060997009277344,84.80294036865234,152.78021240234375,181.87860107421875
2020-04-21,142.13040161132812,73.9719009399414,147.58236694335938,164.7894744873047,67.2365493774414,232.34071350097656,56.53507614135742,85.28205871582031,150.19345092773438,179.601806640625
2020-04-22,145.27349853515625,74.99365997314453,151.4877471923828,170.3865509033203,71.38784790039062,243.89913940429688,59.35679244995117,84.19927215576172,153.4857177734375,181.58692932128906
2020-04-23,147.66635131835938,75.51834869384766,154.60043334960938,168.32447814941406,70.85397338867188,242.92340087890625,57.90871047973633,83.12605285644531,151.02120971679688,176.40304565429688
2020-04-24,147.0491485595703,76.94513702392578,157.50047302246094,171.39797973632812,72.24604034423828,248.4398956298828,57.56290054321289,85.32038879394531,152.01829528808594,176.1490020751953
2020-04-27,146.5078887939453,77.95769500732422,155.9151153564453,170.90696716308594,74.11463928222656,251.8549346923828,58.49947738647461,88.00341033935547,154.07833862304688,181.53990173339844
2020-04-28,143.754150390625,76.18112182617188,152.05807495117188,166.74354553222656,72.6876220703125,248.36489868164062,57.46684646606445,85.84740447998047,151.68905639648438,179.7052764892578
2020-04-29,142.6621856689453,77.10161590576172,149.98939514160156,174.22593688964844,74.45890045166016,258.9569091796875,56.465431213378906,86.39360046386719,146.21449279785156,175.66920471191406
2020-04-30,142.47225952148438,75.66563415527344,149.48672485351562,175.9738006591797,72.91712951660156,254.82894897460938,55.50244903564453,85.5024642944336,149.9676513671875,174.47438049316406
2020-05-01,140.81051635742188,76.2547378540039,148.51040649414062,171.41758728027344,70.54710388183594,243.6458282470703,54.525062561035156,83.22187805175781,147.12693786621094,173.44888305664062
2020-05-04,140.7915496826172,75.35266876220703,148.17205810546875,175.6104736328125,72.67015838623047,246.04759216308594,55.255104064941406,83.49018096923828,148.36856079101562,170.37242126464844
2020-05-05,141.95948791503906,78.58363342285156,152.62841796875,177.49583435058594,73.28137969970703,248.4962158203125,55.25750732421875,84.07469177246094,149.26219177246094,168.82005310058594
